empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;MANGANESO  (MG/L);mercurio;niquel;plomo;sulfatos;sulfuros;TEMPERATURA    (C°)
RENDIC;519;TRAIGUEN;IX - Araucanía;Traiguén;Santa Cruz 1170;0.0;CONVENIO;AGQ;;2024-01-19 00:00:00;RESUMEN;CONTROL DIRECTO;20.0;6.505;290.0;;13.0;17.4;2.0;4.5;180.0;0.72;21.599999999999998;;;;;;;;;;;;;;;;;19.3
RENDIC;532;CURACAUTIN;IX - Araucanía;Curacautin;"O""Higgins 515";0.0;CONVENIO;AGQ;;2024-01-22 00:00:00;RESUMEN;CONTROL DIRECTO;0.5;8.07;219.0;;3.6;312.0;25.0;0.1;40.0;1.01;30.3;;;;;;;;;;;;;;;;;19.6
RENDIC;106;LOS MOLLES;I - Tarapacá;Iquique;Santiago Polanco 2251;4050.0;CONVENIO;SGS;;2024-01-22 00:00:00;RESUMEN;CONTROL DIRECTO;8.0;7.34;375.0;;6.5;57.49;22.0;0.5;94.0;3.1;93.0;;;;;;;;;;;;;;;;;24.26
RENDIC;923;SANTA MARIA ARICA;XV - Arica y Parinacota;Arica;AV.STA. MARIA  2465;0.0;SIN CONVENIO;SGS;;2024-01-22 00:00:00;RESUMEN;CONTROL DIRECTO;5.0;6.75;28.0;;1.5;8.5;2.0;1.4;54.0;3.5;105.0;;;;;;;;;;;;;;;;;23.88
RENDIC;778;ORIENTE;X - Los Lagos;Osorno;Julio Buschman 2223;2867.0;CONVENIO;ANAM;;2024-01-23 00:00:00;RESUMEN;CONTROL DIRECTO;55.0;7.98;425.0;;12.7;33.02;2.0;0.5;93.0;10.5;315.0;;;;;;;;;;;;;;;;;16.2
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0.0;CONVENIO;BIODIVERSA;;2024-01-23 00:00:00;RESUMEN;CONTROL DIRECTO;7.0;;583.0;;9.83;69.0;37.0;1.2;103.0;;0.0;;;;;;;;;;;;;;;;0.1;
RENDIC;22;ATACAMA;III - Atacama;Copiapó;Los Carreras 2242;2666.0;CONVENIO;BIODIVERSA;;2024-01-23 00:00:00;RESUMEN;CONTROL DIRECTO;2.0;;665.0;;10.05;52.5;25.0;1.4;100.0;;0.0;;;;;;;;;;;;;;;;0.2;
RENDIC;106;LOS MOLLES;I - Tarapacá;Iquique;Santiago Polanco 2251;4050.0;CONVENIO;SGS;;2024-01-23 00:00:00;RESUMEN;CONTROL DIRECTO;7.0;6.85;375.0;;7.0;40.72;30.0;0.5;98.0;3;90.0;;;;;;;;;;;;;;;;;23.86
RENDIC;86;BILBAO;I - Tarapacá;Iquique;Fco.Bilbao 3545;4049.0;CONVENIO;SGS;;2024-01-23 00:00:00;RESUMEN;CONTROL DIRECTO;6.0;6.84;635.0;;12.6;29.54;10.0;0.5;66.0;30.7;921.0;;;;;;;;;;;;;;;;;27.87
RENDIC;362;LAS TRANQUERAS;RM - Santiago;Vitacura;Vitacura 8400;0.0;SIN CONVENIO;AGUAS ANDINAS;;2024-01-25 00:00:00;RESUMEN;CONTROL DIRECTO;47.0;8.99;277.0;;11.45;66.56;0.8;10;230.0;4;120.0;;;;;;;;;;;;;;;;;16.8
