empresa;local_id;local_nombre;local_region;local_comuna;local_direccion;local_rpm;local_convenio;laboratorio;fecha_emision;fecha_muestreo;tipo_muestreo;tipo_monitoreo;aceites_grasas;ph;dbo5;dqo;fosforo;nitrogeno_amoniacal;poder_espumogeno;solidos_sedimentables;solidos_suspendidos_totales;volumen_de_descarga_diaria;volumen_de_descarga_mensual;aluminio;arsenico;boro;cadmio;cianuro;zinc;cobre;cromo_total;cromo_hexavalente;hidrocarburos_totales;manganeso;mercurio;niquel;plomo;sulfatos;sulfuros;created_at
RENDIC;32;CHAÑARCILLO;III - Atacama;Copiapó;Chacabuco Nº 231;0;CONVENIO;BIODIVERSA;;20-02-2024;RESUMEN;CONTROL DIRECTO;5,13;7,15;316;18;10,89;65,5;0,9;102;442,656;13279,68;;;;;;;;;;;;;;;;1,3;21,5;
RENDIC;22;ATACAMA;III - Atacama;Copiapó;Los Carreras 2242;2666;CONVENIO;BIODIVERSA;;20-02-2024;RESUMEN;CONTROL DIRECTO;43,07;6,7;638;59;11,54;18,35;2;183,82;91,296;2738,88;;;;;;;;;;;;;;;;0,1;22,5;
RENDIC;333;LOS LEONES;RM - Santiago;Ñuñoa;Gral. Jose Artigas 3250;0;SIN CONVENIO;AGUAS ANDINAS;;21-02-2024;RESUMEN;CONTROL DIRECTO;14;7,72;50;0,8;1,52;10,13;5;62;34;1020;;;;;;;;;;;;;;;;;25,5;
RENDIC;333;LOS LEONES;RM - Santiago;Ñuñoa;Gral. Jose Artigas 3250;0;SIN CONVENIO;AGUAS ANDINAS;;21-02-2024;RESUMEN;CONTROL DIRECTO;14;8,59;89;0,8;4,57;35,6;1;54;33;990;;;;;;;;;;;;;;;;;23,9;
RENDIC;11;ALTO PEÑUELAS;IV - Coquimbo;Coquimbo;Alessandri 531;0;SIN CONVENIO;BIODIVERSA;;22-02-2024;RESUMEN;CONTROL DIRECTO;29,22;7,82;335;14,7;14,02;51,5;0,9;126,14;3,12;93,6;;;;;;;;;;;;;;;;;21,3;
RENDIC;980;MAIPU EL ROSAL;RM - Santiago;Maipú;Av. El Rosal 6361;0;SIN CONVENIO;HIDROLAB;;23-02-2024;RESUMEN;CONTROL DIRECTO;0,632;7,91;18,4;2;2;25,8;0,1;11;0;0;;;;;;;;;;;;;;;;;20,6;
RENDIC;911;MAIPU 4 PONIENTE;RM - Santiago;Maipú;4 Poniente 1197;0;SIN CONVENIO;HIDROLAB;;23-02-2024;RESUMEN;CONTROL DIRECTO;25,5;7,06;240;2;6,4;1,29;0,3;126;0;0;;;;;;;;;;;;;;;;;21,1;
RENDIC;459;ALLENDE AUSTRAL;XII - Magallanes;Punta Arenas;Salvador Allende 0399;3735;SIN CONVENIO;HIDROLAB;;26-02-2024;RESUMEN;AUTOCONTROL;8,3;6,55;131;2;3,6;6,1;0,1;117;3,49;104,7;;;;;;;;;;;;;;;;;11,4;
RENDIC;9139;CD LO AGUIRRE;RM - Santiago;Pudahuel;CAMINO LO AGUIRRE SUR 537;3552;SIN CONVENIO;CESMEC;;26-02-2024;RESUMEN;AUTOCONTROL;12,4;7,49;152;2;4;9,6;1;47;250,9;7527;;;;;;;;;;10;;;;;;;23;
MAYORISTA;3014;M10 SAN FERNANDO;VI - O'Higgins;San Fernando;Chillan 745;1298;TERMINADO;CESMEC;;27-02-2024;RESUMEN;AUTOCONTROL;27,9;7,2;271;2;13,7;47;1,5;144;5,8;174;;;;;;;;;;;;;;;;;21,8;
RENDIC;980;MAIPU EL ROSAL;RM - Santiago;Maipú;Av. El Rosal 6361;0;SIN CONVENIO;HIDROLAB;;27-02-2024;RESUMEN;CONTROL DIRECTO;0,5;5,12;209;0,2;4,9;33,6;0,1;158;0;0;;;;;;;;;;;;;;;;;25;
RENDIC;103;VIVAR;I - Tarapacá;Iquique;Vivar 786;4420;CONVENIO;SGS;;28-02-2024;RESUMEN;CONTROL DIRECTO;7;6,86;60;2;6,1;6,31;4,5;138;1,9;57;;;;;;;;;;;;;;;;;25,67;
RENDIC;85;AMUNATEGUI;I - Tarapacá;Iquique;Amunategui 902;0;CONVENIO;SGS;;28-02-2024;RESUMEN;CONTROL DIRECTO;6;6,68;151;2;2,5;4,91;2,5;163;3,9;117;;;;;;;;;;;;;;;;;25,25;
